country	region
Albania	Tiranë
Algeria	Alger
Algeria	Annaba
Algeria	Batna
Algeria	Béjaïa
Algeria	Biskra
Algeria	Blida
Algeria	Constantine
Algeria	Oran
Algeria	Sétif
Algeria	Tizi Ouzou
Angola	Luanda
Argentina	Buenos Aires
Argentina	Catamarca
Argentina	Chaco
Argentina	Chubut
Argentina	Ciudad Autónoma de Buenos Aires
Argentina	Córdoba
Argentina	Córdoba (Argentina)
Argentina	Corrientes
Argentina	Entre Ríos
Argentina	Formosa
Argentina	Jujuy
Argentina	La Pampa
Argentina	La Rioja
Argentina	Mendoza
Argentina	Misiones
Argentina	Neuquén
Argentina	Río Negro
Argentina	Salta
Argentina	San Juan
Argentina	San Luis
Argentina	Santa Cruz
Argentina	Santa Fe
Argentina	Santiago del Estero
Argentina	Tierra del Fuego
Argentina	Tucumán
Armenia	Erevan
Australia	Australian Capital Territory
Australia	New South Wales
Australia	Northern Territory
Australia	Queensland
Australia	South Australia
Australia	Tasmania
Australia	Victoria
Australia	Western Australia
Austria	Burgenland
Austria	Kärnten
Austria	Niederösterreich
Austria	Oberösterreich
Austria	Salzburg
Austria	Steiermark
Austria	Tirol
Austria	Vorarlberg
Austria	Wien
Azerbaijan	Baku
Bangladesh	Barisal
Bangladesh	Chittagong
Bangladesh	Dhaka
Bangladesh	Khulna
Bangladesh	Mymensingh
Bangladesh	Rajasahi
Bangladesh	Rangur
Bangladesh	Sylhet
Belarus	Brest
Belarus	Homyel'
Belarus	Hrodna
Belarus	Minsk
Belarus	Vitsyebsk
Belgium	Bruxelles
Belgium	Vlaanderen
Belgium	Wallonie
Bolivia	Chuquisaca
Bolivia	Cochabamba
Bolivia	El Beni
Bolivia	La Paz
Bolivia	La Paz (Bolivia)
Bolivia	Oruro
Bolivia	Potosí
Bolivia	Santa Cruz
Bolivia	Santa Cruz (Bolivia)
Bolivia	Tarija
Bosnia and Herzegovina	Federacija Bosna i Hercegovina
Bosnia and Herzegovina	Repuplika Srpska
Brazil	Acre
Brazil	Alagoas
Brazil	Amapá
Brazil	Amazonas
Brazil	Amazonas (Brazil)
Brazil	Bahia
Brazil	Ceará
Brazil	Distrito Federal
Brazil	Distrito Federal (Brazil)
Brazil	Espírito Santo
Brazil	Goiás
Brazil	Maranhão
Brazil	Mato Grosso
Brazil	Mato Grosso do Sul
Brazil	Minas Gerais
Brazil	Pará
Brazil	Paraíba
Brazil	Paraná
Brazil	Pernambuco
Brazil	Piauí
Brazil	Rio de Janeiro
Brazil	Rio Grande do Norte
Brazil	Rio Grande do Sul
Brazil	Rondônia
Brazil	Roraima
Brazil	Santa Catarina
Brazil	Santa Catarina (Brazil)
Brazil	São Paulo
Brazil	Sergipe
Brazil	Tocantins
Bulgaria	Blagoevgrad
Bulgaria	Burgas
Bulgaria	Grad Sofiya
Bulgaria	Pazardzhik
Bulgaria	Plovdiv
Bulgaria	Razgrad
Bulgaria	Ruse
Bulgaria	Sofia
Bulgaria	Sofia (Bulgaria)
Bulgaria	Stara Zagora
Bulgaria	Varna
Bulgaria	Veliko Tarnovo
Burkina Faso	Centre
Cambodia	Phnom Penh
Cameroon	Centre
Cameroon	Littoral
Cameroon	Nord-Ouest
Canada	Alberta
Canada	British Columbia
Canada	Manitoba
Canada	New Brunswick
Canada	Newfoundland and Labrador
Canada	Nova Scotia
Canada	Ontario
Canada	Prince Edward Island
Canada	Québec
Canada	Saskatchewan
Chile	Antofagasta
Chile	Araucanía
Chile	Arica y Parinacota
Chile	Atacama
Chile	Bío-Bío
Chile	Coquimbo
Chile	Libertador General Bernardo O'Higgins
Chile	Los Lagos
Chile	Los Ríos
Chile	Magallanes y Antártica Chilena
Chile	Maule
Chile	Ñuble
Chile	Región Metropolitana de Santiago
Chile	Tarapacá
Chile	Valparaíso
Colombia	Antioquia
Colombia	Atlántico
Colombia	Bogotá, Distrito Capital
Colombia	Bolívar
Colombia	Boyacá
Colombia	Caldas
Colombia	Casanare
Colombia	Cauca
Colombia	Cesar
Colombia	Córdoba
Colombia	Cundinamarca
Colombia	Huila
Colombia	La Guajira
Colombia	Magdalena
Colombia	Meta
Colombia	Nariño
Colombia	Norte de Santander
Colombia	Putumayo
Colombia	Quindío
Colombia	Risaralda
Colombia	Santander
Colombia	Sucre
Colombia	Tolima
Colombia	Valle del Cauca
Costa Rica	Alajuela
Costa Rica	Cartago
Costa Rica	Guanacaste
Costa Rica	Heredia
Costa Rica	Limón
Costa Rica	Puntarenas
Costa Rica	San José
Costa Rica	San José (Costa Rica)
Côte d'Ivoire	Autonome d'Abidjan
Côte d'Ivoire	Lagunes
Croatia	Brodsko-Posavska
Croatia	Grad Zagreb
Croatia	Istarska
Croatia	Koprivničko-Križevačka
Croatia	Medimurska
Croatia	Osjecko-Baranjska
Croatia	Primorsko-Goranska
Croatia	Šibensko-Kninska
Croatia	Sisacko-Moslavacka
Croatia	Splitsko-Dalmatinska
Croatia	Varaždinska
Croatia	Vukovarsko-Srijemska
Croatia	Zadarska
Croatia	Zagrebačka
Czech Republic	Jihočeský
Czech Republic	Jihomoravský
Czech Republic	Karlovarský
Czech Republic	Kraj Vysočina
Czech Republic	Královéhradecký
Czech Republic	Liberecký
Czech Republic	Moravskoslezský
Czech Republic	Olomoucký
Czech Republic	Pardubický
Czech Republic	Plzeňský
Czech Republic	Prague
Czech Republic	Středočeský
Czech Republic	Ústecký
Czech Republic	Zlínský
Denmark	Hovedstaden
Denmark	Midtjylland
Denmark	Nordjylland
Denmark	Sjælland
Denmark	Syddanmark
Dominican Republic	Distrito Nacional
Dominican Republic	La Altagracia
Dominican Republic	La Romana
Dominican Republic	La Vega
Dominican Republic	San Cristóbal
Dominican Republic	San Pedro de Macorís
Dominican Republic	Santiago
Dominican Republic	Santo Domingo
Ecuador	Azuay
Ecuador	Cañar
Ecuador	Chimborazo
Ecuador	Cotopaxi
Ecuador	El Oro
Ecuador	Esmeraldas
Ecuador	Guayas
Ecuador	Imbabura
Ecuador	Loja
Ecuador	Los Rios
Ecuador	Manabi
Ecuador	Orellana
Ecuador	Pichincha
Ecuador	Santa Elena
Ecuador	Santo Domingo de los Tsachilas
Ecuador	Tungurahua
Egypt	Ad Daqahliyah
Egypt	Al Bahr al Ahmar
Egypt	Al Buhayrah
Egypt	Al Fayyum
Egypt	Al Gharbiyah
Egypt	Al Iskandariyah
Egypt	Al Isma`iliyah
Egypt	Al Jizah
Egypt	Al Minufiyah
Egypt	Al Minya
Egypt	Al Qahirah
Egypt	Al Qalyubiyah
Egypt	Ash Sharqiyah
Egypt	As Suways
Egypt	Aswan
Egypt	Asyut
Egypt	Bani Suwayf
Egypt	Bur Sa`id
Egypt	Dumyat
Egypt	Kafr ash Shaykh
Egypt	Qina
Egypt	Suhaj
El Salvador	Ahuachapán
El Salvador	La Libertad
El Salvador	La Paz
El Salvador	San Miguel
El Salvador	San Salvador
El Salvador	San Salvador (El Salvador)
El Salvador	Santa Ana
El Salvador	Sonsonate
El Salvador	Usulután
Ethiopia	Addis Abeba
Ethiopia	Amhara
Ethiopia	Oromia
Ethiopia	Southern Nations, Nationalities and Peoples
Finland	Etelä-Karjala
Finland	Etelä-Pohjanmaa
Finland	Kanta-Häme
Finland	Keski-Pohjanmaa
Finland	Keski-Suomi
Finland	Kymenlaakso
Finland	Lappi
Finland	Päijät-Häme
Finland	Pirkanmaa
Finland	Pohjanmaa
Finland	Pohjois-Pohjanmaa
Finland	Pohjois-Savo
Finland	Satakunta
Finland	Uusimaa
Finland	Varsinais-Suomi
France	Auvergne-Rhône-Alpes
France	Bourgogne-Franche-Comté
France	Bretagne
France	Centre-Val de Loire
France	Corse
France	Grand Est
France	Hauts-de-France
France	Île-de-France
France	Normandie
France	Nouvelle-Aquitaine
France	Occitanie
France	Pays de la Loire
France	Provence-Alpes-Côte d'Azur
Germany	Baden-Württemberg
Germany	Bayern
Germany	Berlin
Germany	Brandenburg
Germany	Bremen
Germany	Hamburg
Germany	Hessen
Germany	Mecklenburg-Vorpommern
Germany	Niedersachsen
Germany	Nordrhein-Westfalen
Germany	Rheinland-Pfalz
Germany	Saarland
Germany	Sachsen
Germany	Sachsen-Anhalt
Germany	Schleswig-Holstein
Germany	Thüringen
Ghana	Ashanti
Ghana	Central
Ghana	Eastern
Ghana	Greater Accra
Ghana	North East
Ghana	Western
Greece	Anatoliki Makedonia Thraki
Greece	Attiki
Greece	Dytiki Ellada
Greece	Dytiki Makedonia
Greece	Ionia Nisia
Greece	Ipeiros
Greece	Kentriki Makedonia
Greece	Kriti
Greece	Notio Aigaio
Greece	Peloponnisos
Greece	Sterea Ellada
Greece	Thessalia
Greece	Voreio Aigaio
Guatemala	Chimaltenango
Guatemala	Escuintla
Guatemala	Guatemala
Guatemala	Quezaltenango
Guatemala	Sacatepéquez
Guinea	Conakry
Haiti	Ouest
Honduras	Atlántida
Honduras	Choluteca
Honduras	Comayagua
Honduras	Cortés
Honduras	Francisco Morazán
Honduras	Yoro
Hong Kong	Central and Western
Hong Kong	Eastern
Hong Kong	Islands
Hong Kong	Kowloon City
Hong Kong	Kwun Tong
Hong Kong	North
Hong Kong	Sai Kung
Hong Kong	Sham Shui Po
Hong Kong	Sha Tin
Hong Kong	Tsuen Wan
Hong Kong	Tuen Mun
Hong Kong	Yuen Long
Hungary	Bács-Kiskun
Hungary	Baranya
Hungary	Békés
Hungary	Borsod-Abaúj-Zemplén
Hungary	Budapest
Hungary	Csongrád
Hungary	Fejér
Hungary	Gyor-Moson-Sopron
Hungary	Hajdú-Bihar
Hungary	Heves
Hungary	Jász-Nagykun-Szolnok
Hungary	Komárom-Esztergom
Hungary	Nógrád
Hungary	Pest
Hungary	Somogy
Hungary	Szabolcs-Szatmár-Bereg
Hungary	Tolna
Hungary	Vas
Hungary	Veszprém
Hungary	Zala
India	Andhra Pradesh
India	Arunachal Pradesh
India	Assam
India	Bihar
India	Chandigarh
India	Chhattisgarh
India	Goa
India	Gujarat
India	Haryana
India	Himachal Pradesh
India	Jammu and Kashmir
India	Jharkhand
India	Karnataka
India	Kerala
India	Madhya Pradesh
India	Maharashtra
India	Manipur
India	Meghalaya
India	Mizoram
India	Nagaland
India	NCT of Delhi
India	Odisha
India	Puducherry
India	Punjab
India	Rajasthan
India	Sikkim
India	Tamil Nadu
India	Telangana
India	Tripura
India	Uttarakhand
India	Uttar Pradesh
India	West Bengal
Indonesia	Aceh
Indonesia	Bali
Indonesia	Bangka Belitung
Indonesia	Banten
Indonesia	Jakarta Raya
Indonesia	Jambi
Indonesia	Jawa Barat
Indonesia	Jawa Tengah
Indonesia	Jawa Timur
Indonesia	Kalimantan Barat
Indonesia	Kalimantan Selatan
Indonesia	Kalimantan Tengah
Indonesia	Kalimantan Timur
Indonesia	Kepulauan Riau
Indonesia	Lampung
Indonesia	Maluku
Indonesia	Nusa Tenggara Barat
Indonesia	Nusa Tenggara Timur
Indonesia	Papua
Indonesia	Papua Barat
Indonesia	Riau
Indonesia	Sulawesi Barat
Indonesia	Sulawesi Selatan
Indonesia	Sulawesi Tengah
Indonesia	Sulawesi Tenggara
Indonesia	Sulawesi Utara
Indonesia	Sumatera Barat
Indonesia	Sumatera Selatan
Indonesia	Sumatera Utara
Indonesia	Yogyakarta
Iraq	Al-Anbar
Iraq	Al-Basrah
Iraq	Al-Qadissiya
Iraq	Al-Sulaymaniyah
Iraq	Babil
Iraq	Baghdad
Iraq	Dahuk
