pct_covid	covid_se	pct_covid_unw	covid_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.004041	0.000757	0.004632	0.000681	9930.0	Japan	JPN	JPN	20210101
0.004443	0.000866	0.004441	0.000646	10584.0	Japan	JPN	JPN	20210102
0.006198	0.001016	0.00517	0.000702	10445.0	Japan	JPN	JPN	20210103
0.00413	0.00069	0.005065	0.000701	10267.0	Japan	JPN	JPN	20210104
0.005897	0.001218	0.004688	0.000668	10453.0	Japan	JPN	JPN	20210105
0.004484	0.000769	0.004471	0.000651	10512.0	Japan	JPN	JPN	20210106
0.006508	0.001196	0.005006	0.000686	10588.0	Japan	JPN	JPN	20210107
0.004659	0.000973	0.004491	0.000647	10688.0	Japan	JPN	JPN	20210108
0.003508	0.000589	0.00417	0.000601	11511.0	Japan	JPN	JPN	20210109
0.002754	0.000507	0.003788	0.00057	11615.0	Japan	JPN	JPN	20210110
0.004637	0.000789	0.004957	0.000679	10692.0	Japan	JPN	JPN	20210111
0.004977	0.001171	0.003597	0.000598	10008.0	Japan	JPN	JPN	20210112
0.005108	0.0009	0.005227	0.000716	10140.0	Japan	JPN	JPN	20210113
0.00677	0.001586	0.004846	0.000691	10112.0	Japan	JPN	JPN	20210114
0.004681	0.000918	0.003626	0.000587	10479.0	Japan	JPN	JPN	20210115
0.003501	0.000726	0.003442	0.000557	11041.0	Japan	JPN	JPN	20210116
0.002593	0.000658	0.002846	0.000528	10190.0	Japan	JPN	JPN	20210117
0.003351	0.000715	0.004111	0.000649	9731.0	Japan	JPN	JPN	20210118
0.003817	0.000831	0.003333	0.000588	9602.0	Japan	JPN	JPN	20210119
0.005914	0.001412	0.004574	0.00068	9838.0	Japan	JPN	JPN	20210120
0.003562	0.000938	0.003011	0.000549	9962.0	Japan	JPN	JPN	20210121
0.00558	0.001197	0.004527	0.000697	9277.0	Japan	JPN	JPN	20210122
0.004348	0.000987	0.003878	0.000597	10830.0	Japan	JPN	JPN	20210123
0.004683	0.001057	0.003813	0.000626	9703.0	Japan	JPN	JPN	20210124
0.004811	0.00103	0.004317	0.000681	9266.0	Japan	JPN	JPN	20210125
0.004181	0.000841	0.00424	0.000678	9198.0	Japan	JPN	JPN	20210126
0.004095	0.001263	0.003017	0.00058	8948.0	Japan	JPN	JPN	20210127
0.003619	0.000855	0.003333	0.000629	8400.0	Japan	JPN	JPN	20210128
0.004418	0.001115	0.004262	0.00074	7743.0	Japan	JPN	JPN	20210129
0.005111	0.001485	0.002815	0.000562	8880.0	Japan	JPN	JPN	20210130
0.003477	0.001034	0.002869	0.000585	8365.0	Japan	JPN	JPN	20210131
0.004097	0.001032	0.003919	0.000853	5359.0	Japan	JPN	JPN	20210201
0.003839	0.001031	0.003861	0.000935	4403.0	Japan	JPN	JPN	20210202
0.004997	0.001118	0.003828	0.000646	9143.0	Japan	JPN	JPN	20210203
0.003592	0.000847	0.003177	0.000622	8185.0	Japan	JPN	JPN	20210204
0.004806	0.001161	0.003663	0.000667	8191.0	Japan	JPN	JPN	20210205
0.004161	0.001119	0.00333	0.000617	8708.0	Japan	JPN	JPN	20210206
0.004229	0.000932	0.00446	0.000742	8071.0	Japan	JPN	JPN	20210207
0.003317	0.000921	0.003925	0.000727	7388.0	Japan	JPN	JPN	20210208
0.003779	0.00117	0.002546	0.000599	7071.0	Japan	JPN	JPN	20210209
0.003168	0.000737	0.003227	0.000644	7747.0	Japan	JPN	JPN	20210210
0.005686	0.001532	0.003913	0.000725	7412.0	Japan	JPN	JPN	20210211
0.004891	0.001078	0.003773	0.000619	9807.0	Japan	JPN	JPN	20210212
0.004121	0.000883	0.003854	0.000601	10639.0	Japan	JPN	JPN	20210213
0.004129	0.001352	0.002585	0.000538	8897.0	Japan	JPN	JPN	20210214
0.003889	0.000787	0.004143	0.00072	7966.0	Japan	JPN	JPN	20210215
0.003598	0.001014	0.003017	0.000615	7954.0	Japan	JPN	JPN	20210216
0.005012	0.001328	0.003611	0.000694	7477.0	Japan	JPN	JPN	20210217
0.002759	0.000718	0.002844	0.00062	7384.0	Japan	JPN	JPN	20210218
0.004379	0.001129	0.003377	0.000674	7402.0	Japan	JPN	JPN	20210219
0.003227	0.000701	0.003864	0.000704	7763.0	Japan	JPN	JPN	20210220
0.003488	0.000969	0.00362	0.000683	7734.0	Japan	JPN	JPN	20210221
0.004963	0.001311	0.003488	0.000658	8028.0	Japan	JPN	JPN	20210222
0.004625	0.001042	0.003839	0.000712	7554.0	Japan	JPN	JPN	20210223
0.005922	0.001889	0.003837	0.000751	6777.0	Japan	JPN	JPN	20210224
0.002585	0.000855	0.002298	0.000593	6527.0	Japan	JPN	JPN	20210225
0.005561	0.00132	0.003976	0.00075	7042.0	Japan	JPN	JPN	20210226
0.002388	0.000654	0.002456	0.000563	7736.0	Japan	JPN	JPN	20210227
0.004017	0.001501	0.003457	0.00069	7232.0	Japan	JPN	JPN	20210228
0.002646	0.000741	0.002563	0.000603	7024.0	Japan	JPN	JPN	20210301
0.006687	0.002245	0.003743	0.000999	3740.0	Japan	JPN	JPN	20210302
0.002767	0.00126	0.002117	0.000546	7086.0	Japan	JPN	JPN	20210303
0.003694	0.000855	0.00357	0.000727	6722.0	Japan	JPN	JPN	20210304
0.002805	0.000699	0.003342	0.000681	7182.0	Japan	JPN	JPN	20210305
0.006448	0.001555	0.004305	0.000737	7897.0	Japan	JPN	JPN	20210306
0.003913	0.001133	0.003357	0.00067	7448.0	Japan	JPN	JPN	20210307
0.00507	0.001377	0.004551	0.000815	6812.0	Japan	JPN	JPN	20210308
0.005212	0.001267	0.004337	0.000804	6687.0	Japan	JPN	JPN	20210309
0.003623	0.000842	0.004087	0.000785	6606.0	Japan	JPN	JPN	20210310
0.003626	0.001276	0.002816	0.000645	6746.0	Japan	JPN	JPN	20210311
0.004795	0.001491	0.003152	0.000671	6980.0	Japan	JPN	JPN	20210312
0.003811	0.001669	0.002022	0.00054	6925.0	Japan	JPN	JPN	20210313
0.004896	0.001226	0.003941	0.000771	6598.0	Japan	JPN	JPN	20210314
0.00577	0.001332	0.004357	0.000794	6885.0	Japan	JPN	JPN	20210315
0.004957	0.001202	0.004207	0.000766	7131.0	Japan	JPN	JPN	20210316
0.003851	0.000978	0.003454	0.000704	6948.0	Japan	JPN	JPN	20210317
0.004816	0.001146	0.003997	0.000768	6755.0	Japan	JPN	JPN	20210318
0.005485	0.001412	0.004119	0.000777	6797.0	Japan	JPN	JPN	20210319
0.005244	0.001211	0.003989	0.000704	8023.0	Japan	JPN	JPN	20210320
0.003969	0.000971	0.003614	0.000707	7195.0	Japan	JPN	JPN	20210321
0.004107	0.001231	0.003298	0.000719	6367.0	Japan	JPN	JPN	20210322
0.004041	0.001445	0.002876	0.000677	6259.0	Japan	JPN	JPN	20210323
0.005771	0.001485	0.00482	0.000864	6431.0	Japan	JPN	JPN	20210324
0.004701	0.001357	0.003213	0.000717	6224.0	Japan	JPN	JPN	20210325
0.00423	0.001319	0.002817	0.000682	6035.0	Japan	JPN	JPN	20210326
0.003333	0.000872	0.002951	0.000643	7117.0	Japan	JPN	JPN	20210327
0.003952	0.001163	0.003274	0.000682	7024.0	Japan	JPN	JPN	20210328
0.002435	0.000602	0.003563	0.000742	6456.0	Japan	JPN	JPN	20210329
0.006248	0.001773	0.004708	0.000858	6372.0	Japan	JPN	JPN	20210330
0.005862	0.001668	0.003754	0.000765	6394.0	Japan	JPN	JPN	20210331
0.00645	0.001589	0.004824	0.000879	6219.0	Japan	JPN	JPN	20210401
0.004397	0.00111	0.004388	0.000813	6609.0	Japan	JPN	JPN	20210402
0.004936	0.001212	0.003746	0.000707	7474.0	Japan	JPN	JPN	20210403
0.003713	0.000842	0.00366	0.000717	7103.0	Japan	JPN	JPN	20210404
0.005355	0.001313	0.004692	0.000869	6181.0	Japan	JPN	JPN	20210405
0.006704	0.001713	0.004822	0.000864	6429.0	Japan	JPN	JPN	20210406
0.003922	0.001029	0.003349	0.000713	6569.0	Japan	JPN	JPN	20210407
0.004794	0.001084	0.00502	0.000899	6175.0	Japan	JPN	JPN	20210408
0.004238	0.001479	0.003562	0.000741	6457.0	Japan	JPN	JPN	20210409
0.005485	0.001366	0.003896	0.000748	6930.0	Japan	JPN	JPN	20210410
0.004907	0.001194	0.0038	0.000791	6052.0	Japan	JPN	JPN	20210411
0.006099	0.00212	0.004026	0.000773	6707.0	Japan	JPN	JPN	20210412
0.004621	0.001053	0.003818	0.000733	7071.0	Japan	JPN	JPN	20210413
0.006024	0.001437	0.005251	0.000885	6666.0	Japan	JPN	JPN	20210414
0.006651	0.001721	0.004698	0.000842	6598.0	Japan	JPN	JPN	20210415
0.004941	0.001375	0.003004	0.000655	6990.0	Japan	JPN	JPN	20210416
0.005221	0.001435	0.004136	0.000741	7495.0	Japan	JPN	JPN	20210417
0.008349	0.002135	0.004877	0.000811	7382.0	Japan	JPN	JPN	20210418
0.007193	0.001978	0.005277	0.000854	7201.0	Japan	JPN	JPN	20210419
0.004363	0.001265	0.003368	0.000686	7125.0	Japan	JPN	JPN	20210420
0.006261	0.001439	0.004579	0.000808	6989.0	Japan	JPN	JPN	20210421
0.007831	0.001615	0.006324	0.00095	6958.0	Japan	JPN	JPN	20210422
0.00512	0.001317	0.003754	0.000735	6926.0	Japan	JPN	JPN	20210423
0.00705	0.00162	0.004627	0.000769	7780.0	Japan	JPN	JPN	20210424
0.007487	0.001689	0.005601	0.000872	7320.0	Japan	JPN	JPN	20210425
0.006169	0.001345	0.004867	0.000845	6780.0	Japan	JPN	JPN	20210426
0.009032	0.001903	0.006641	0.000987	6776.0	Japan	JPN	JPN	20210427
0.006345	0.00173	0.00428	0.000743	7711.0	Japan	JPN	JPN	20210428
0.005655	0.001331	0.004673	0.0008	7276.0	Japan	JPN	JPN	20210429
0.005877	0.001891	0.003933	0.000742	7119.0	Japan	JPN	JPN	20210430
0.003906	0.001013	0.003623	0.000683	7728.0	Japan	JPN	JPN	20210501
0.005619	0.001087	0.005143	0.000801	7972.0	Japan	JPN	JPN	20210502
0.006877	0.00119	0.006102	0.000869	8030.0	Japan	JPN	JPN	20210503
0.007063	0.001612	0.004484	0.000726	8475.0	Japan	JPN	JPN	20210504
0.004329	0.000934	0.004349	0.000744	7817.0	Japan	JPN	JPN	20210505
0.005261	0.001301	0.004443	0.000784	7202.0	Japan	JPN	JPN	20210506
0.00658	0.001586	0.004964	0.000814	7453.0	Japan	JPN	JPN	20210507
0.007052	0.001073	0.007293	0.000954	7953.0	Japan	JPN	JPN	20210508
0.007036	0.001465	0.006064	0.000901	7421.0	Japan	JPN	JPN	20210509
0.008043	0.00191	0.005817	0.000917	6876.0	Japan	JPN	JPN	20210510
0.00619	0.001028	0.007016	0.000999	6984.0	Japan	JPN	JPN	20210511
0.005677	0.001211	0.004619	0.000802	7145.0	Japan	JPN	JPN	20210512
0.005381	0.001113	0.005485	0.000899	6746.0	Japan	JPN	JPN	20210513
0.007159	0.001919	0.005021	0.000847	6971.0	Japan	JPN	JPN	20210514
0.00778	0.002115	0.005153	0.000803	7957.0	Japan	JPN	JPN	20210515
0.005888	0.001252	0.004922	0.000807	7518.0	Japan	JPN	JPN	20210516
0.005673	0.001594	0.004668	0.000823	6855.0	Japan	JPN	JPN	20210517
0.007468	0.001651	0.005442	0.00088	6983.0	Japan	JPN	JPN	20210518
