percent_mc	mc_se	percent_mc_unw	mc_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.975868	0.002257	0.977115	0.00158	8958.0	Japan	JPN	JPN	20210101
0.969005	0.002693	0.972068	0.001673	9702.0	Japan	JPN	JPN	20210102
0.96865	0.002844	0.971034	0.001715	9563.0	Japan	JPN	JPN	20210103
0.966707	0.003143	0.973384	0.001661	9393.0	Japan	JPN	JPN	20210104
0.968553	0.002843	0.973066	0.001657	9542.0	Japan	JPN	JPN	20210105
0.975547	0.002352	0.978098	0.001495	9588.0	Japan	JPN	JPN	20210106
0.968407	0.002913	0.974552	0.001612	9549.0	Japan	JPN	JPN	20210107
0.966024	0.003013	0.972878	0.001653	9660.0	Japan	JPN	JPN	20210108
0.970121	0.002797	0.977184	0.001459	10475.0	Japan	JPN	JPN	20210109
0.974088	0.002387	0.978195	0.001419	10594.0	Japan	JPN	JPN	20210110
0.968139	0.002988	0.97609	0.001548	9745.0	Japan	JPN	JPN	20210111
0.96985	0.002797	0.974607	0.001649	9097.0	Japan	JPN	JPN	20210112
0.970844	0.002555	0.973161	0.001685	9203.0	Japan	JPN	JPN	20210113
0.970521	0.002902	0.975753	0.001604	9197.0	Japan	JPN	JPN	20210114
0.969075	0.002749	0.973751	0.001641	9486.0	Japan	JPN	JPN	20210115
0.972118	0.002855	0.976966	0.001495	10072.0	Japan	JPN	JPN	20210116
0.966872	0.003353	0.974854	0.001627	9266.0	Japan	JPN	JPN	20210117
0.972444	0.002728	0.976936	0.001596	8845.0	Japan	JPN	JPN	20210118
0.971153	0.002791	0.975543	0.001655	8709.0	Japan	JPN	JPN	20210119
0.973596	0.002646	0.9781	0.001551	8904.0	Japan	JPN	JPN	20210120
0.972738	0.002508	0.975094	0.00164	9034.0	Japan	JPN	JPN	20210121
0.97697	0.002161	0.976659	0.001643	8440.0	Japan	JPN	JPN	20210122
0.968437	0.003256	0.978146	0.001471	9884.0	Japan	JPN	JPN	20210123
0.971884	0.00291	0.977475	0.001575	8879.0	Japan	JPN	JPN	20210124
0.972512	0.002761	0.976589	0.001648	8415.0	Japan	JPN	JPN	20210125
0.972238	0.00267	0.97678	0.001648	8355.0	Japan	JPN	JPN	20210126
0.974925	0.00276	0.97871	0.001601	8126.0	Japan	JPN	JPN	20210127
0.969772	0.003017	0.97457	0.001798	7668.0	Japan	JPN	JPN	20210128
0.970076	0.003377	0.976771	0.001793	7060.0	Japan	JPN	JPN	20210129
0.96868	0.003609	0.976505	0.001676	8172.0	Japan	JPN	JPN	20210130
0.973773	0.002778	0.977026	0.001712	7661.0	Japan	JPN	JPN	20210131
0.977547	0.003341	0.980964	0.001966	4833.0	Japan	JPN	JPN	20210201
0.967869	0.004621	0.97572	0.002435	3995.0	Japan	JPN	JPN	20210202
0.974609	0.002684	0.979036	0.001573	8300.0	Japan	JPN	JPN	20210203
0.974377	0.003171	0.978864	0.001669	7428.0	Japan	JPN	JPN	20210204
0.97616	0.002803	0.979066	0.001658	7452.0	Japan	JPN	JPN	20210205
0.972917	0.002909	0.977809	0.001664	7841.0	Japan	JPN	JPN	20210206
0.973475	0.00293	0.977435	0.001742	7268.0	Japan	JPN	JPN	20210207
0.977145	0.002843	0.978938	0.001761	6647.0	Japan	JPN	JPN	20210208
0.969826	0.003086	0.974705	0.001968	6365.0	Japan	JPN	JPN	20210209
0.97076	0.003302	0.975363	0.00185	7022.0	Japan	JPN	JPN	20210210
0.976415	0.002738	0.977621	0.001813	6658.0	Japan	JPN	JPN	20210211
0.972973	0.002819	0.977054	0.001592	8847.0	Japan	JPN	JPN	20210212
0.977761	0.002289	0.980671	0.001407	9571.0	Japan	JPN	JPN	20210213
0.976812	0.003195	0.979905	0.001568	8012.0	Japan	JPN	JPN	20210214
0.972269	0.003111	0.975535	0.001827	7153.0	Japan	JPN	JPN	20210215
0.975248	0.002739	0.977183	0.001772	7100.0	Japan	JPN	JPN	20210216
0.977104	0.00274	0.978557	0.001762	6762.0	Japan	JPN	JPN	20210217
0.972256	0.0032	0.976183	0.001872	6634.0	Japan	JPN	JPN	20210218
0.979126	0.002562	0.980271	0.001707	6640.0	Japan	JPN	JPN	20210219
0.974948	0.002901	0.978833	0.001721	6992.0	Japan	JPN	JPN	20210220
0.974745	0.002777	0.977921	0.001759	6975.0	Japan	JPN	JPN	20210221
0.969609	0.003283	0.975441	0.001823	7207.0	Japan	JPN	JPN	20210222
0.972339	0.002896	0.97489	0.001896	6810.0	Japan	JPN	JPN	20210223
0.97003	0.003711	0.97495	0.002013	6028.0	Japan	JPN	JPN	20210224
0.977864	0.002713	0.978539	0.001891	5871.0	Japan	JPN	JPN	20210225
0.976041	0.002859	0.978326	0.001832	6321.0	Japan	JPN	JPN	20210226
0.974506	0.002918	0.976266	0.001826	6952.0	Japan	JPN	JPN	20210227
0.977864	0.00274	0.980875	0.001694	6536.0	Japan	JPN	JPN	20210228
