pct_tested_positive_14d	tested_positive_14d_se	pct_tested_positive_14d_unw	tested_positive_14d_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.141681	0.046784	0.087629	0.020301	194.0	Japan	JPN	JPN	20210101
0.069356	0.02265	0.082126	0.019083	207.0	Japan	JPN	JPN	20210102
0.147213	0.045912	0.094118	0.022395	170.0	Japan	JPN	JPN	20210103
0.033368	0.009802	0.082474	0.01975	194.0	Japan	JPN	JPN	20210104
0.06085	0.018543	0.070093	0.017452	214.0	Japan	JPN	JPN	20210105
0.06829	0.023402	0.065327	0.017517	199.0	Japan	JPN	JPN	20210106
0.160742	0.040384	0.109005	0.021455	211.0	Japan	JPN	JPN	20210107
0.055281	0.018688	0.071111	0.017134	225.0	Japan	JPN	JPN	20210108
0.084153	0.019717	0.086142	0.017171	267.0	Japan	JPN	JPN	20210109
0.061865	0.017863	0.075	0.017002	240.0	Japan	JPN	JPN	20210110
0.124736	0.049283	0.085586	0.018776	222.0	Japan	JPN	JPN	20210111
0.091519	0.022758	0.101852	0.020579	216.0	Japan	JPN	JPN	20210112
0.074497	0.026153	0.077551	0.017088	245.0	Japan	JPN	JPN	20210113
0.058324	0.01552	0.089686	0.019134	223.0	Japan	JPN	JPN	20210114
0.104516	0.023517	0.133603	0.021648	247.0	Japan	JPN	JPN	20210115
0.077741	0.020709	0.078358	0.016416	268.0	Japan	JPN	JPN	20210116
0.096133	0.040295	0.072289	0.016411	249.0	Japan	JPN	JPN	20210117
0.113923	0.030067	0.11588	0.020969	233.0	Japan	JPN	JPN	20210118
0.100182	0.025196	0.096774	0.018774	248.0	Japan	JPN	JPN	20210119
0.091361	0.025444	0.077821	0.016711	257.0	Japan	JPN	JPN	20210120
0.077565	0.02011	0.088	0.017917	250.0	Japan	JPN	JPN	20210121
0.077727	0.018442	0.094262	0.018706	244.0	Japan	JPN	JPN	20210122
0.098407	0.029576	0.080292	0.016417	274.0	Japan	JPN	JPN	20210123
0.158135	0.033232	0.128906	0.020944	256.0	Japan	JPN	JPN	20210124
0.089908	0.029044	0.079365	0.017028	252.0	Japan	JPN	JPN	20210125
0.061186	0.017009	0.075697	0.016696	251.0	Japan	JPN	JPN	20210126
0.054845	0.018747	0.051064	0.01436	235.0	Japan	JPN	JPN	20210127
0.077812	0.022822	0.089686	0.019134	223.0	Japan	JPN	JPN	20210128
0.084404	0.034299	0.069892	0.018695	186.0	Japan	JPN	JPN	20210129
0.024297	0.009163	0.04329	0.01339	231.0	Japan	JPN	JPN	20210130
0.075336	0.023092	0.074627	0.018536	201.0	Japan	JPN	JPN	20210131
0.033183	0.016643	0.033557	0.014753	149.0	Japan	JPN	JPN	20210201
0.090973	0.032687	0.091743	0.027649	109.0	Japan	JPN	JPN	20210202
0.053565	0.024913	0.03125	0.011625	224.0	Japan	JPN	JPN	20210203
0.082512	0.022603	0.087156	0.019104	218.0	Japan	JPN	JPN	20210204
0.076144	0.030547	0.057803	0.017743	173.0	Japan	JPN	JPN	20210205
0.050825	0.018567	0.050228	0.014759	219.0	Japan	JPN	JPN	20210206
0.068059	0.023481	0.066667	0.017863	195.0	Japan	JPN	JPN	20210207
0.082953	0.026321	0.081967	0.020278	183.0	Japan	JPN	JPN	20210208
0.080081	0.041063	0.04918	0.015985	183.0	Japan	JPN	JPN	20210209
0.059439	0.019858	0.06383	0.017828	188.0	Japan	JPN	JPN	20210210
0.065804	0.030066	0.050633	0.017442	158.0	Japan	JPN	JPN	20210211
0.043377	0.018037	0.045977	0.012964	261.0	Japan	JPN	JPN	20210212
0.079046	0.030353	0.045455	0.01339	242.0	Japan	JPN	JPN	20210213
0.068045	0.021721	0.066986	0.017293	209.0	Japan	JPN	JPN	20210214
0.056254	0.023709	0.049451	0.016071	182.0	Japan	JPN	JPN	20210215
0.055826	0.017669	0.067416	0.018794	178.0	Japan	JPN	JPN	20210216
0.005584	0.004	0.013793	0.009686	145.0	Japan	JPN	JPN	20210217
0.07217	0.030003	0.047945	0.017682	146.0	Japan	JPN	JPN	20210218
0.059056	0.040409	0.038217	0.015301	157.0	Japan	JPN	JPN	20210219
0.057993	0.021204	0.068966	0.01921	174.0	Japan	JPN	JPN	20210220
0.074742	0.032656	0.051724	0.01679	174.0	Japan	JPN	JPN	20210221
0.109183	0.03826	0.073171	0.020335	164.0	Japan	JPN	JPN	20210222
0.016883	0.007691	0.035714	0.014318	168.0	Japan	JPN	JPN	20210223
0.042134	0.019992	0.034014	0.01495	147.0	Japan	JPN	JPN	20210224
0.02898	0.01799	0.028369	0.013982	141.0	Japan	JPN	JPN	20210225
0.056434	0.025353	0.050314	0.017336	159.0	Japan	JPN	JPN	20210226
0.039719	0.016294	0.049689	0.017126	161.0	Japan	JPN	JPN	20210227
0.007218	0.005891	0.013333	0.009365	150.0	Japan	JPN	JPN	20210228
0.017286	0.008811	0.04	0.016	150.0	Japan	JPN	JPN	20210301
					Japan	JPN	JPN	20210302
0.056337	0.026979	0.041958	0.016766	143.0	Japan	JPN	JPN	20210303
0.064376	0.03617	0.05	0.01842	140.0	Japan	JPN	JPN	20210304
0.057078	0.020157	0.080882	0.02338	136.0	Japan	JPN	JPN	20210305
0.020543	0.018381	0.017442	0.009982	172.0	Japan	JPN	JPN	20210306
0.060088	0.018725	0.070175	0.019534	171.0	Japan	JPN	JPN	20210307
0.024855	0.013689	0.028571	0.01408	140.0	Japan	JPN	JPN	20210308
0.043102	0.027334	0.021583	0.012326	139.0	Japan	JPN	JPN	20210309
0.031783	0.017363	0.028902	0.012737	173.0	Japan	JPN	JPN	20210310
0.042799	0.019462	0.044025	0.01627	159.0	Japan	JPN	JPN	20210311
0.05044	0.03196	0.037037	0.016254	135.0	Japan	JPN	JPN	20210312
0.011649	0.006916	0.01875	0.010723	160.0	Japan	JPN	JPN	20210313
0.023002	0.011772	0.024691	0.012192	162.0	Japan	JPN	JPN	20210314
0.037365	0.018066	0.028249	0.012453	177.0	Japan	JPN	JPN	20210315
0.039653	0.018517	0.041451	0.014348	193.0	Japan	JPN	JPN	20210316
0.096378	0.05136	0.041885	0.014495	191.0	Japan	JPN	JPN	20210317
0.028325	0.012356	0.040936	0.015152	171.0	Japan	JPN	JPN	20210318
0.048156	0.020883	0.047059	0.016242	170.0	Japan	JPN	JPN	20210319
0.031787	0.021836	0.015873	0.009091	189.0	Japan	JPN	JPN	20210320
0.026871	0.010714	0.037037	0.013737	189.0	Japan	JPN	JPN	20210321
0.00098	0.000986	0.006494	0.006472	154.0	Japan	JPN	JPN	20210322
0.031533	0.017717	0.031056	0.013671	161.0	Japan	JPN	JPN	20210323
0.027666	0.013483	0.02994	0.013188	167.0	Japan	JPN	JPN	20210324
0.054721	0.020237	0.057143	0.017546	175.0	Japan	JPN	JPN	20210325
0.030721	0.016908	0.02649	0.013068	151.0	Japan	JPN	JPN	20210326
0.013621	0.008708	0.015075	0.008638	199.0	Japan	JPN	JPN	20210327
0.038553	0.017916	0.042781	0.014798	187.0	Japan	JPN	JPN	20210328
0.034438	0.027541	0.013423	0.009427	149.0	Japan	JPN	JPN	20210329
0.074839	0.035427	0.044444	0.01536	180.0	Japan	JPN	JPN	20210330
0.027498	0.013479	0.035294	0.014152	170.0	Japan	JPN	JPN	20210331
0.007485	0.005363	0.011111	0.007813	180.0	Japan	JPN	JPN	20210401
0.039097	0.018916	0.039216	0.01359	204.0	Japan	JPN	JPN	20210402
0.085698	0.035345	0.044335	0.014447	203.0	Japan	JPN	JPN	20210403
0.056514	0.029097	0.034483	0.013833	174.0	Japan	JPN	JPN	20210404
0.035052	0.015062	0.044872	0.016575	156.0	Japan	JPN	JPN	20210405
0.141014	0.062378	0.052941	0.017174	170.0	Japan	JPN	JPN	20210406
0.034686	0.015364	0.036649	0.013596	191.0	Japan	JPN	JPN	20210407
0.069917	0.023779	0.077844	0.020733	167.0	Japan	JPN	JPN	20210408
0.042996	0.02119	0.052356	0.016117	191.0	Japan	JPN	JPN	20210409
0.070725	0.031039	0.061538	0.017209	195.0	Japan	JPN	JPN	20210410
0.02326	0.010885	0.038889	0.01441	180.0	Japan	JPN	JPN	20210411
0.064365	0.021004	0.055838	0.016359	197.0	Japan	JPN	JPN	20210412
0.084275	0.030954	0.062222	0.016104	225.0	Japan	JPN	JPN	20210413
0.064126	0.025041	0.054299	0.015243	221.0	Japan	JPN	JPN	20210414
0.047232	0.014078	0.066986	0.017293	209.0	Japan	JPN	JPN	20210415
0.057157	0.022928	0.042056	0.013721	214.0	Japan	JPN	JPN	20210416
0.021438	0.007578	0.042735	0.013222	234.0	Japan	JPN	JPN	20210417
0.069046	0.025555	0.052402	0.014725	229.0	Japan	JPN	JPN	20210418
0.078804	0.041699	0.055276	0.016199	199.0	Japan	JPN	JPN	20210419
0.05585	0.031928	0.031111	0.011575	225.0	Japan	JPN	JPN	20210420
0.036586	0.014369	0.038462	0.013334	208.0	Japan	JPN	JPN	20210421
0.102779	0.044609	0.055794	0.015037	233.0	Japan	JPN	JPN	20210422
0.066582	0.023522	0.05	0.014068	240.0	Japan	JPN	JPN	20210423
0.084146	0.026866	0.047794	0.012935	272.0	Japan	JPN	JPN	20210424
0.059495	0.015854	0.067925	0.015457	265.0	Japan	JPN	JPN	20210425
0.083104	0.032674	0.043307	0.012772	254.0	Japan	JPN	JPN	20210426
0.088694	0.029389	0.046875	0.013211	256.0	Japan	JPN	JPN	20210427
0.084318	0.024932	0.067164	0.01529	268.0	Japan	JPN	JPN	20210428
0.088863	0.033143	0.066914	0.015235	269.0	Japan	JPN	JPN	20210429
0.045892	0.013534	0.056818	0.014248	264.0	Japan	JPN	JPN	20210430
0.034912	0.010948	0.042763	0.011604	304.0	Japan	JPN	JPN	20210501
0.057551	0.023019	0.049669	0.012502	302.0	Japan	JPN	JPN	20210502
0.057982	0.013734	0.075	0.014724	320.0	Japan	JPN	JPN	20210503
