pct_covid	covid_se	pct_covid_unw	covid_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.07823	0.017305	0.066566	0.009695	661.0	Nigeria	NGA	NGA	20210101
0.080009	0.013686	0.070081	0.009372	742.0	Nigeria	NGA	NGA	20210102
0.069198	0.013544	0.061562	0.009314	666.0	Nigeria	NGA	NGA	20210103
0.072268	0.013524	0.063144	0.008731	776.0	Nigeria	NGA	NGA	20210104
0.061991	0.01097	0.062937	0.008291	858.0	Nigeria	NGA	NGA	20210105
0.085643	0.013703	0.074166	0.009213	809.0	Nigeria	NGA	NGA	20210106
0.076097	0.013502	0.056206	0.007881	854.0	Nigeria	NGA	NGA	20210107
0.049408	0.01098	0.048593	0.007689	782.0	Nigeria	NGA	NGA	20210108
0.040675	0.00836	0.050805	0.00773	807.0	Nigeria	NGA	NGA	20210109
0.064119	0.011448	0.057528	0.008146	817.0	Nigeria	NGA	NGA	20210110
0.086513	0.015295	0.067651	0.008808	813.0	Nigeria	NGA	NGA	20210111
0.071341	0.013661	0.065	0.008716	800.0	Nigeria	NGA	NGA	20210112
0.077925	0.013618	0.059226	0.007966	878.0	Nigeria	NGA	NGA	20210113
0.080622	0.013778	0.070659	0.008868	835.0	Nigeria	NGA	NGA	20210114
0.041823	0.008729	0.04266	0.007158	797.0	Nigeria	NGA	NGA	20210115
0.071611	0.014241	0.063739	0.009194	706.0	Nigeria	NGA	NGA	20210116
0.043582	0.010263	0.048714	0.007919	739.0	Nigeria	NGA	NGA	20210117
0.088355	0.015264	0.071429	0.009198	784.0	Nigeria	NGA	NGA	20210118
0.076301	0.012804	0.075168	0.00966	745.0	Nigeria	NGA	NGA	20210119
0.081835	0.014025	0.067901	0.008839	810.0	Nigeria	NGA	NGA	20210120
0.065236	0.012464	0.060226	0.008427	797.0	Nigeria	NGA	NGA	20210121
0.0818	0.016053	0.073077	0.009319	780.0	Nigeria	NGA	NGA	20210122
0.057468	0.010245	0.078652	0.009512	801.0	Nigeria	NGA	NGA	20210123
0.068738	0.013318	0.068345	0.008738	834.0	Nigeria	NGA	NGA	20210124
0.102235	0.023405	0.066924	0.008965	777.0	Nigeria	NGA	NGA	20210125
0.055406	0.011974	0.072165	0.009289	776.0	Nigeria	NGA	NGA	20210126
0.056454	0.016836	0.051508	0.007834	796.0	Nigeria	NGA	NGA	20210127
0.08543	0.020955	0.060773	0.008879	724.0	Nigeria	NGA	NGA	20210128
0.062481	0.017772	0.050179	0.009242	558.0	Nigeria	NGA	NGA	20210129
0.068786	0.018211	0.054264	0.00892	645.0	Nigeria	NGA	NGA	20210130
0.059453	0.012385	0.070822	0.009655	706.0	Nigeria	NGA	NGA	20210131
0.071352	0.021516	0.058943	0.010618	492.0	Nigeria	NGA	NGA	20210201
0.038144	0.010884	0.063452	0.012281	394.0	Nigeria	NGA	NGA	20210202
0.082528	0.016105	0.068692	0.009193	757.0	Nigeria	NGA	NGA	20210203
