pct_covid_vaccine	covid_vaccine_se	pct_covid_vaccine_unw	covid_vaccine_se_unw	sample_size	country	iso_code	gid_0	survey_date
					Nigeria	NGA	NGA	20210101
					Nigeria	NGA	NGA	20210102
					Nigeria	NGA	NGA	20210103
					Nigeria	NGA	NGA	20210104
					Nigeria	NGA	NGA	20210105
					Nigeria	NGA	NGA	20210106
					Nigeria	NGA	NGA	20210107
					Nigeria	NGA	NGA	20210108
					Nigeria	NGA	NGA	20210109
					Nigeria	NGA	NGA	20210110
					Nigeria	NGA	NGA	20210111
					Nigeria	NGA	NGA	20210112
					Nigeria	NGA	NGA	20210113
					Nigeria	NGA	NGA	20210114
					Nigeria	NGA	NGA	20210115
					Nigeria	NGA	NGA	20210116
					Nigeria	NGA	NGA	20210117
					Nigeria	NGA	NGA	20210118
					Nigeria	NGA	NGA	20210119
					Nigeria	NGA	NGA	20210120
					Nigeria	NGA	NGA	20210121
					Nigeria	NGA	NGA	20210122
					Nigeria	NGA	NGA	20210123
					Nigeria	NGA	NGA	20210124
					Nigeria	NGA	NGA	20210125
					Nigeria	NGA	NGA	20210126
					Nigeria	NGA	NGA	20210127
					Nigeria	NGA	NGA	20210128
					Nigeria	NGA	NGA	20210129
					Nigeria	NGA	NGA	20210130
					Nigeria	NGA	NGA	20210131
					Nigeria	NGA	NGA	20210201
					Nigeria	NGA	NGA	20210202
					Nigeria	NGA	NGA	20210203
					Nigeria	NGA	NGA	20210204
					Nigeria	NGA	NGA	20210205
0.07164	0.019188	0.056	0.010282	500.0	Nigeria	NGA	NGA	20210206
0.103359	0.029427	0.06499	0.011287	477.0	Nigeria	NGA	NGA	20210207
0.080938	0.017373	0.065957	0.011449	470.0	Nigeria	NGA	NGA	20210208
0.055995	0.013658	0.06263	0.011071	479.0	Nigeria	NGA	NGA	20210209
0.051438	0.013791	0.054585	0.010615	458.0	Nigeria	NGA	NGA	20210210
0.101165	0.025207	0.065646	0.011585	457.0	Nigeria	NGA	NGA	20210211
0.068548	0.015342	0.064912	0.010319	570.0	Nigeria	NGA	NGA	20210212
0.088811	0.018257	0.075	0.01155	520.0	Nigeria	NGA	NGA	20210213
0.067135	0.019896	0.073604	0.013155	394.0	Nigeria	NGA	NGA	20210214
0.06568	0.016717	0.05169	0.009872	503.0	Nigeria	NGA	NGA	20210215
0.05506	0.013414	0.064151	0.010643	530.0	Nigeria	NGA	NGA	20210216
0.098273	0.022431	0.073446	0.011321	531.0	Nigeria	NGA	NGA	20210217
0.095385	0.026746	0.060377	0.010346	530.0	Nigeria	NGA	NGA	20210218
0.09753	0.021701	0.079777	0.011671	539.0	Nigeria	NGA	NGA	20210219
0.088842	0.022729	0.06383	0.011276	470.0	Nigeria	NGA	NGA	20210220
0.086766	0.019837	0.071138	0.011589	492.0	Nigeria	NGA	NGA	20210221
0.09272	0.026179	0.052	0.009929	500.0	Nigeria	NGA	NGA	20210222
0.073298	0.017592	0.074747	0.01182	495.0	Nigeria	NGA	NGA	20210223
0.080793	0.026529	0.066946	0.011431	478.0	Nigeria	NGA	NGA	20210224
0.069441	0.021279	0.055156	0.011179	417.0	Nigeria	NGA	NGA	20210225
0.04593	0.014965	0.046729	0.010202	428.0	Nigeria	NGA	NGA	20210226
0.062543	0.017913	0.05492	0.010898	437.0	Nigeria	NGA	NGA	20210227
0.08203	0.026196	0.062657	0.012132	399.0	Nigeria	NGA	NGA	20210228
0.067647	0.019348	0.07177	0.012624	418.0	Nigeria	NGA	NGA	20210301
0.084653	0.027103	0.060533	0.011734	413.0	Nigeria	NGA	NGA	20210302
0.059092	0.01475	0.055085	0.010501	472.0	Nigeria	NGA	NGA	20210303
0.059542	0.013661	0.075388	0.012432	451.0	Nigeria	NGA	NGA	20210304
0.079069	0.021792	0.080685	0.013467	409.0	Nigeria	NGA	NGA	20210305
0.104692	0.019958	0.089087	0.013444	449.0	Nigeria	NGA	NGA	20210306
0.058166	0.016424	0.064815	0.011845	432.0	Nigeria	NGA	NGA	20210307
0.110942	0.023674	0.085526	0.013096	456.0	Nigeria	NGA	NGA	20210308
0.110973	0.023345	0.09009	0.013588	444.0	Nigeria	NGA	NGA	20210309
0.104822	0.029034	0.084233	0.012908	463.0	Nigeria	NGA	NGA	20210310
0.09504	0.021524	0.090909	0.01388	429.0	Nigeria	NGA	NGA	20210311
0.139855	0.032352	0.111374	0.015314	422.0	Nigeria	NGA	NGA	20210312
0.111267	0.024896	0.090439	0.014579	387.0	Nigeria	NGA	NGA	20210313
0.122577	0.029594	0.102151	0.015702	372.0	Nigeria	NGA	NGA	20210314
0.183215	0.032511	0.119289	0.016329	394.0	Nigeria	NGA	NGA	20210315
0.205719	0.039434	0.142857	0.017367	406.0	Nigeria	NGA	NGA	20210316
0.112535	0.025927	0.104738	0.015292	401.0	Nigeria	NGA	NGA	20210317
0.150913	0.028314	0.14186	0.016826	430.0	Nigeria	NGA	NGA	20210318
0.176392	0.03548	0.149883	0.017274	427.0	Nigeria	NGA	NGA	20210319
0.148167	0.025311	0.142544	0.016372	456.0	Nigeria	NGA	NGA	20210320
0.153812	0.030246	0.133909	0.015827	463.0	Nigeria	NGA	NGA	20210321
0.20881	0.033475	0.157303	0.017259	445.0	Nigeria	NGA	NGA	20210322
0.255355	0.034705	0.201271	0.018455	472.0	Nigeria	NGA	NGA	20210323
0.17685	0.031957	0.172811	0.018149	434.0	Nigeria	NGA	NGA	20210324
0.218517	0.034245	0.195556	0.018697	450.0	Nigeria	NGA	NGA	20210325
0.274684	0.038695	0.232446	0.020785	413.0	Nigeria	NGA	NGA	20210326
0.290006	0.0414	0.261792	0.021349	424.0	Nigeria	NGA	NGA	20210327
0.255911	0.038645	0.221973	0.019678	446.0	Nigeria	NGA	NGA	20210328
0.243292	0.037249	0.215311	0.020105	418.0	Nigeria	NGA	NGA	20210329
0.237617	0.029563	0.24424	0.020623	434.0	Nigeria	NGA	NGA	20210330
0.229209	0.031295	0.256595	0.021388	417.0	Nigeria	NGA	NGA	20210331
0.268348	0.04029	0.228916	0.020624	415.0	Nigeria	NGA	NGA	20210401
0.214949	0.031361	0.250633	0.021806	395.0	Nigeria	NGA	NGA	20210402
0.254017	0.038464	0.263547	0.021864	406.0	Nigeria	NGA	NGA	20210403
0.269582	0.036455	0.252927	0.021036	427.0	Nigeria	NGA	NGA	20210404
0.334658	0.039987	0.287356	0.021697	435.0	Nigeria	NGA	NGA	20210405
0.234559	0.031265	0.219955	0.019725	441.0	Nigeria	NGA	NGA	20210406
0.207229	0.031396	0.238095	0.021907	378.0	Nigeria	NGA	NGA	20210407
0.327795	0.045719	0.270893	0.023858	347.0	Nigeria	NGA	NGA	20210408
0.309829	0.0432	0.267568	0.023014	370.0	Nigeria	NGA	NGA	20210409
0.263431	0.03855	0.245	0.021504	400.0	Nigeria	NGA	NGA	20210410
0.262	0.040027	0.273743	0.023565	358.0	Nigeria	NGA	NGA	20210411
0.265158	0.037956	0.29096	0.024141	354.0	Nigeria	NGA	NGA	20210412
0.171291	0.025652	0.208633	0.019898	417.0	Nigeria	NGA	NGA	20210413
0.274926	0.035247	0.28777	0.02217	417.0	Nigeria	NGA	NGA	20210414
0.287554	0.035309	0.262651	0.021602	415.0	Nigeria	NGA	NGA	20210415
