percent_mc	mc_se	percent_mc_unw	mc_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.587253	0.034327	0.641138	0.022438	457.0	Nigeria	NGA	NGA	20210101
0.557759	0.029804	0.588235	0.021101	544.0	Nigeria	NGA	NGA	20210102
0.553896	0.031988	0.597895	0.022498	475.0	Nigeria	NGA	NGA	20210103
0.561094	0.029335	0.590426	0.020707	564.0	Nigeria	NGA	NGA	20210104
0.588336	0.027935	0.619048	0.019678	609.0	Nigeria	NGA	NGA	20210105
0.552263	0.028908	0.616906	0.020617	556.0	Nigeria	NGA	NGA	20210106
0.574021	0.028292	0.624183	0.019578	612.0	Nigeria	NGA	NGA	20210107
0.64299	0.029153	0.669627	0.019823	563.0	Nigeria	NGA	NGA	20210108
0.670472	0.026688	0.678451	0.019164	594.0	Nigeria	NGA	NGA	20210109
0.589528	0.027715	0.620632	0.019793	601.0	Nigeria	NGA	NGA	20210110
0.602804	0.029186	0.656304	0.019738	579.0	Nigeria	NGA	NGA	20210111
0.60245	0.030677	0.641414	0.019678	594.0	Nigeria	NGA	NGA	20210112
0.640908	0.026675	0.679873	0.018572	631.0	Nigeria	NGA	NGA	20210113
0.646437	0.028598	0.68325	0.018945	603.0	Nigeria	NGA	NGA	20210114
0.627045	0.027986	0.671233	0.019439	584.0	Nigeria	NGA	NGA	20210115
0.628054	0.030468	0.648077	0.020943	520.0	Nigeria	NGA	NGA	20210116
0.627833	0.030894	0.660952	0.02066	525.0	Nigeria	NGA	NGA	20210117
0.624777	0.029674	0.666087	0.019667	575.0	Nigeria	NGA	NGA	20210118
0.651255	0.028554	0.677536	0.019895	552.0	Nigeria	NGA	NGA	20210119
0.634708	0.028783	0.69459	0.019241	573.0	Nigeria	NGA	NGA	20210120
0.660552	0.028883	0.690141	0.019403	568.0	Nigeria	NGA	NGA	20210121
0.677347	0.034965	0.702055	0.018925	584.0	Nigeria	NGA	NGA	20210122
0.685204	0.034399	0.69661	0.018926	590.0	Nigeria	NGA	NGA	20210123
0.637422	0.035733	0.721582	0.018193	607.0	Nigeria	NGA	NGA	20210124
0.600545	0.0355	0.687392	0.019265	579.0	Nigeria	NGA	NGA	20210125
0.721761	0.032432	0.735915	0.018497	568.0	Nigeria	NGA	NGA	20210126
0.663843	0.036841	0.71777	0.018786	574.0	Nigeria	NGA	NGA	20210127
0.663373	0.040213	0.726054	0.01952	522.0	Nigeria	NGA	NGA	20210128
0.710979	0.037731	0.717762	0.022201	411.0	Nigeria	NGA	NGA	20210129
0.629675	0.042645	0.672451	0.021858	461.0	Nigeria	NGA	NGA	20210130
0.633151	0.038147	0.714563	0.019901	515.0	Nigeria	NGA	NGA	20210131
0.664473	0.047652	0.731214	0.023833	346.0	Nigeria	NGA	NGA	20210201
0.682652	0.053898	0.755319	0.0256	282.0	Nigeria	NGA	NGA	20210202
0.741375	0.029777	0.75	0.019062	516.0	Nigeria	NGA	NGA	20210203
0.705312	0.033252	0.73913	0.019092	529.0	Nigeria	NGA	NGA	20210204
0.686042	0.036362	0.727459	0.020156	488.0	Nigeria	NGA	NGA	20210205
0.759437	0.035071	0.755245	0.020758	429.0	Nigeria	NGA	NGA	20210206
0.75649	0.037533	0.775943	0.020249	424.0	Nigeria	NGA	NGA	20210207
0.76222	0.035707	0.764706	0.021	408.0	Nigeria	NGA	NGA	20210208
0.706375	0.040278	0.736721	0.021165	433.0	Nigeria	NGA	NGA	20210209
0.747774	0.034028	0.738462	0.022254	390.0	Nigeria	NGA	NGA	20210210
0.678381	0.041123	0.709046	0.022459	409.0	Nigeria	NGA	NGA	20210211
0.73114	0.030872	0.742204	0.019945	481.0	Nigeria	NGA	NGA	20210212
0.741572	0.034569	0.774554	0.019743	448.0	Nigeria	NGA	NGA	20210213
0.73384	0.041594	0.787172	0.022101	343.0	Nigeria	NGA	NGA	20210214
0.656905	0.044466	0.745721	0.021532	409.0	Nigeria	NGA	NGA	20210215
