pct_covid	covid_se	pct_covid_unw	covid_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.00723	0.001786	0.006928	0.00144	3320.0	Spain	ESP	ESP	20210101
0.005827	0.00146	0.006553	0.001362	3510.0	Spain	ESP	ESP	20210102
0.006592	0.001521	0.007351	0.00136	3945.0	Spain	ESP	ESP	20210103
0.00663	0.0014	0.007431	0.001399	3768.0	Spain	ESP	ESP	20210104
0.007516	0.002016	0.006885	0.001372	3631.0	Spain	ESP	ESP	20210105
0.008507	0.001645	0.008583	0.001535	3612.0	Spain	ESP	ESP	20210106
0.006555	0.001375	0.007301	0.0014	3698.0	Spain	ESP	ESP	20210107
0.007017	0.00147	0.007529	0.001393	3852.0	Spain	ESP	ESP	20210108
0.006337	0.001543	0.006648	0.001353	3610.0	Spain	ESP	ESP	20210109
0.005496	0.001275	0.006345	0.001265	3940.0	Spain	ESP	ESP	20210110
0.007761	0.001769	0.007761	0.001461	3608.0	Spain	ESP	ESP	20210111
0.00877	0.001737	0.008322	0.001488	3725.0	Spain	ESP	ESP	20210112
0.008444	0.001512	0.009184	0.001545	3811.0	Spain	ESP	ESP	20210113
0.006714	0.001296	0.00884	0.001509	3846.0	Spain	ESP	ESP	20210114
0.007017	0.002041	0.006391	0.0013	3755.0	Spain	ESP	ESP	20210115
0.008624	0.001744	0.00989	0.001618	3741.0	Spain	ESP	ESP	20210116
0.005842	0.001734	0.005839	0.001214	3939.0	Spain	ESP	ESP	20210117
0.013752	0.002402	0.012313	0.001804	3736.0	Spain	ESP	ESP	20210118
0.009864	0.001971	0.010296	0.00164	3788.0	Spain	ESP	ESP	20210119
0.009172	0.002196	0.008758	0.001495	3882.0	Spain	ESP	ESP	20210120
0.011658	0.002016	0.012526	0.001797	3832.0	Spain	ESP	ESP	20210121
0.011792	0.00329	0.008095	0.001472	3706.0	Spain	ESP	ESP	20210122
0.007456	0.001895	0.006958	0.001288	4168.0	Spain	ESP	ESP	20210123
0.005756	0.001121	0.007581	0.001335	4221.0	Spain	ESP	ESP	20210124
0.006472	0.001274	0.007407	0.001347	4050.0	Spain	ESP	ESP	20210125
0.007673	0.00156	0.00887	0.001514	3833.0	Spain	ESP	ESP	20210126
0.009843	0.001915	0.009464	0.00157	3804.0	Spain	ESP	ESP	20210127
0.01241	0.002212	0.013905	0.001993	3452.0	Spain	ESP	ESP	20210128
0.009586	0.00189	0.01042	0.001728	3455.0	Spain	ESP	ESP	20210129
0.006471	0.001464	0.00716	0.001456	3352.0	Spain	ESP	ESP	20210130
0.0089	0.00206	0.009219	0.001574	3688.0	Spain	ESP	ESP	20210131
0.007507	0.002189	0.007138	0.00159	2802.0	Spain	ESP	ESP	20210201
0.013707	0.00352	0.010461	0.002003	2581.0	Spain	ESP	ESP	20210202
0.006441	0.001436	0.006772	0.001299	3987.0	Spain	ESP	ESP	20210203
0.00571	0.001633	0.006633	0.001443	3166.0	Spain	ESP	ESP	20210204
0.006202	0.001505	0.007858	0.001632	2927.0	Spain	ESP	ESP	20210205
0.004379	0.001122	0.00557	0.001347	3052.0	Spain	ESP	ESP	20210206
0.005547	0.001389	0.006333	0.001378	3316.0	Spain	ESP	ESP	20210207
0.006508	0.001776	0.006757	0.001506	2960.0	Spain	ESP	ESP	20210208
0.005922	0.00143	0.00717	0.001559	2929.0	Spain	ESP	ESP	20210209
0.00549	0.001437	0.006372	0.001497	2825.0	Spain	ESP	ESP	20210210
0.00727	0.001891	0.00751	0.001673	2663.0	Spain	ESP	ESP	20210211
0.006858	0.001753	0.00607	0.001262	3789.0	Spain	ESP	ESP	20210212
0.006871	0.001581	0.007636	0.001464	3536.0	Spain	ESP	ESP	20210213
0.004736	0.00116	0.006291	0.001402	3179.0	Spain	ESP	ESP	20210214
0.008337	0.002413	0.006972	0.001516	3012.0	Spain	ESP	ESP	20210215
0.004371	0.001463	0.004296	0.001189	3026.0	Spain	ESP	ESP	20210216
0.003079	0.001525	0.002668	0.000942	2999.0	Spain	ESP	ESP	20210217
0.010547	0.002711	0.007297	0.001626	2741.0	Spain	ESP	ESP	20210218
0.008767	0.002125	0.007698	0.001715	2598.0	Spain	ESP	ESP	20210219
0.005747	0.001708	0.005259	0.001402	2662.0	Spain	ESP	ESP	20210220
0.007002	0.001907	0.006112	0.001436	2945.0	Spain	ESP	ESP	20210221
0.004768	0.001827	0.004304	0.00124	2788.0	Spain	ESP	ESP	20210222
0.007191	0.001806	0.006714	0.001577	2681.0	Spain	ESP	ESP	20210223
0.002656	0.001065	0.003647	0.001151	2742.0	Spain	ESP	ESP	20210224
0.006541	0.001703	0.006918	0.001625	2602.0	Spain	ESP	ESP	20210225
0.010373	0.002635	0.00882	0.001916	2381.0	Spain	ESP	ESP	20210226
0.009594	0.002931	0.007125	0.001722	2386.0	Spain	ESP	ESP	20210227
0.004393	0.001351	0.005195	0.001385	2695.0	Spain	ESP	ESP	20210228
0.006197	0.002069	0.005812	0.001549	2409.0	Spain	ESP	ESP	20210302
0.005329	0.00169	0.005887	0.001516	2548.0	Spain	ESP	ESP	20210303
0.005499	0.001883	0.005361	0.001483	2425.0	Spain	ESP	ESP	20210304
0.003163	0.001305	0.002584	0.001054	2322.0	Spain	ESP	ESP	20210305
0.00683	0.001811	0.007048	0.001703	2412.0	Spain	ESP	ESP	20210306
0.007479	0.001981	0.006917	0.001581	2747.0	Spain	ESP	ESP	20210307
0.008329	0.002513	0.005315	0.00147	2446.0	Spain	ESP	ESP	20210308
0.00478	0.001649	0.005023	0.001446	2389.0	Spain	ESP	ESP	20210309
0.004024	0.001216	0.005692	0.001574	2284.0	Spain	ESP	ESP	20210310
0.005949	0.00203	0.004893	0.001472	2248.0	Spain	ESP	ESP	20210311
0.005196	0.001952	0.004839	0.001456	2273.0	Spain	ESP	ESP	20210312
0.00446	0.001428	0.004937	0.001485	2228.0	Spain	ESP	ESP	20210313
0.006521	0.002091	0.006234	0.001605	2406.0	Spain	ESP	ESP	20210314
0.00376	0.001195	0.004669	0.001404	2356.0	Spain	ESP	ESP	20210315
0.007436	0.002104	0.005986	0.001541	2506.0	Spain	ESP	ESP	20210316
0.003863	0.001388	0.004006	0.001264	2496.0	Spain	ESP	ESP	20210317
0.007132	0.002939	0.005202	0.001439	2499.0	Spain	ESP	ESP	20210318
0.008292	0.002978	0.005558	0.001481	2519.0	Spain	ESP	ESP	20210319
0.006634	0.001955	0.005859	0.001508	2560.0	Spain	ESP	ESP	20210320
0.005179	0.001548	0.005299	0.001412	2642.0	Spain	ESP	ESP	20210321
0.00464	0.001695	0.004843	0.001395	2478.0	Spain	ESP	ESP	20210322
0.007418	0.002017	0.008212	0.001928	2192.0	Spain	ESP	ESP	20210323
0.004169	0.001393	0.004781	0.001377	2510.0	Spain	ESP	ESP	20210324
0.006082	0.001858	0.007149	0.001781	2238.0	Spain	ESP	ESP	20210325
0.005376	0.001623	0.005765	0.001594	2255.0	Spain	ESP	ESP	20210326
0.006253	0.001938	0.005096	0.001467	2355.0	Spain	ESP	ESP	20210327
0.003895	0.001195	0.004979	0.001434	2410.0	Spain	ESP	ESP	20210328
