pct_covid_vaccine	covid_vaccine_se	pct_covid_vaccine_unw	covid_vaccine_se_unw	sample_size	country	iso_code	gid_0	survey_date
					Spain	ESP	ESP	20210101
					Spain	ESP	ESP	20210102
					Spain	ESP	ESP	20210103
					Spain	ESP	ESP	20210104
0.024075	0.013968	0.022099	0.010927	181.0	Spain	ESP	ESP	20210105
0.006749	0.001599	0.007306	0.001456	3422.0	Spain	ESP	ESP	20210106
0.011468	0.002062	0.012178	0.001846	3531.0	Spain	ESP	ESP	20210107
0.008848	0.00163	0.010864	0.001708	3682.0	Spain	ESP	ESP	20210108
0.010488	0.002068	0.012625	0.001913	3406.0	Spain	ESP	ESP	20210109
0.010938	0.001592	0.014993	0.001988	3735.0	Spain	ESP	ESP	20210110
0.012229	0.001809	0.015757	0.002127	3427.0	Spain	ESP	ESP	20210111
0.021547	0.002656	0.025568	0.00266	3520.0	Spain	ESP	ESP	20210112
0.022249	0.002882	0.025513	0.002626	3606.0	Spain	ESP	ESP	20210113
0.024281	0.002641	0.032134	0.002923	3641.0	Spain	ESP	ESP	20210114
0.031308	0.003831	0.033446	0.003014	3558.0	Spain	ESP	ESP	20210115
0.026886	0.003066	0.032824	0.002997	3534.0	Spain	ESP	ESP	20210116
0.033917	0.003245	0.041409	0.003267	3719.0	Spain	ESP	ESP	20210117
0.025998	0.002916	0.031948	0.002957	3537.0	Spain	ESP	ESP	20210118
0.031347	0.002971	0.039403	0.003264	3553.0	Spain	ESP	ESP	20210119
0.031931	0.003906	0.037705	0.003149	3660.0	Spain	ESP	ESP	20210120
0.031899	0.003164	0.040022	0.003279	3573.0	Spain	ESP	ESP	20210121
0.031358	0.002999	0.039943	0.003308	3505.0	Spain	ESP	ESP	20210122
0.038579	0.003462	0.046482	0.003355	3937.0	Spain	ESP	ESP	20210123
0.032973	0.002942	0.041937	0.003167	4006.0	Spain	ESP	ESP	20210124
0.031091	0.002971	0.036678	0.003042	3817.0	Spain	ESP	ESP	20210125
0.032387	0.003121	0.038715	0.003197	3642.0	Spain	ESP	ESP	20210126
0.027553	0.002872	0.033074	0.002981	3598.0	Spain	ESP	ESP	20210127
0.034476	0.003312	0.041335	0.003483	3266.0	Spain	ESP	ESP	20210128
0.032682	0.003063	0.042357	0.003529	3258.0	Spain	ESP	ESP	20210129
0.033511	0.003411	0.039886	0.003482	3159.0	Spain	ESP	ESP	20210130
0.037431	0.003485	0.045182	0.003512	3497.0	Spain	ESP	ESP	20210131
0.038131	0.004312	0.043035	0.003943	2649.0	Spain	ESP	ESP	20210201
0.041085	0.005555	0.041444	0.004038	2437.0	Spain	ESP	ESP	20210202
0.039632	0.003532	0.046796	0.003444	3761.0	Spain	ESP	ESP	20210203
0.037663	0.003778	0.042347	0.003677	2999.0	Spain	ESP	ESP	20210204
0.049875	0.004962	0.052784	0.004252	2766.0	Spain	ESP	ESP	20210205
0.045934	0.004101	0.053998	0.004205	2889.0	Spain	ESP	ESP	20210206
0.04025	0.003714	0.049952	0.003886	3143.0	Spain	ESP	ESP	20210207
0.03726	0.003934	0.043944	0.003874	2799.0	Spain	ESP	ESP	20210208
0.042331	0.004217	0.04973	0.004127	2775.0	Spain	ESP	ESP	20210209
0.04687	0.004771	0.054764	0.004406	2666.0	Spain	ESP	ESP	20210210
0.04901	0.004683	0.055997	0.004582	2518.0	Spain	ESP	ESP	20210211
0.04917	0.00404	0.060177	0.00396	3606.0	Spain	ESP	ESP	20210212
0.044166	0.00366	0.055605	0.003962	3345.0	Spain	ESP	ESP	20210213
0.057114	0.004624	0.062851	0.004414	3023.0	Spain	ESP	ESP	20210214
0.048244	0.004319	0.058638	0.004402	2848.0	Spain	ESP	ESP	20210215
0.057921	0.005619	0.061646	0.004501	2855.0	Spain	ESP	ESP	20210216
0.049728	0.004481	0.057123	0.004358	2836.0	Spain	ESP	ESP	20210217
0.059392	0.005771	0.067334	0.004916	2599.0	Spain	ESP	ESP	20210218
0.053289	0.004877	0.061582	0.004855	2452.0	Spain	ESP	ESP	20210219
0.052536	0.004453	0.070695	0.005094	2532.0	Spain	ESP	ESP	20210220
0.056239	0.00488	0.06793	0.004758	2797.0	Spain	ESP	ESP	20210221
0.052175	0.004431	0.065909	0.004829	2640.0	Spain	ESP	ESP	20210222
0.067132	0.005929	0.068993	0.005047	2522.0	Spain	ESP	ESP	20210223
0.062247	0.005578	0.067161	0.004946	2561.0	Spain	ESP	ESP	20210224
0.069257	0.006349	0.073091	0.00526	2449.0	Spain	ESP	ESP	20210225
0.072045	0.005728	0.084829	0.005903	2228.0	Spain	ESP	ESP	20210226
0.077323	0.006337	0.086131	0.005896	2264.0	Spain	ESP	ESP	20210227
0.073748	0.005361	0.090055	0.005664	2554.0	Spain	ESP	ESP	20210228
0.069624	0.005545	0.090074	0.005986	2287.0	Spain	ESP	ESP	20210302
0.076607	0.005927	0.087448	0.005778	2390.0	Spain	ESP	ESP	20210303
0.077588	0.005801	0.094021	0.006075	2308.0	Spain	ESP	ESP	20210304
