percent_mc	mc_se	percent_mc_unw	mc_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.97687	0.003171	0.978026	0.002738	2867.0	Spain	ESP	ESP	20210101
0.971886	0.003932	0.975384	0.002771	3128.0	Spain	ESP	ESP	20210102
0.968848	0.004155	0.974099	0.002665	3552.0	Spain	ESP	ESP	20210103
0.962965	0.004469	0.969561	0.002968	3351.0	Spain	ESP	ESP	20210104
0.963617	0.007143	0.975008	0.002742	3241.0	Spain	ESP	ESP	20210105
0.96915	0.004062	0.974103	0.002806	3205.0	Spain	ESP	ESP	20210106
0.971114	0.003742	0.973653	0.002771	3340.0	Spain	ESP	ESP	20210107
0.969259	0.003668	0.971892	0.002814	3451.0	Spain	ESP	ESP	20210108
0.972043	0.003563	0.972437	0.002881	3229.0	Spain	ESP	ESP	20210109
0.966202	0.004061	0.970404	0.002859	3514.0	Spain	ESP	ESP	20210110
0.958858	0.004522	0.962792	0.003319	3252.0	Spain	ESP	ESP	20210111
0.97011	0.003574	0.970713	0.00293	3312.0	Spain	ESP	ESP	20210112
0.962967	0.004167	0.96728	0.003041	3423.0	Spain	ESP	ESP	20210113
0.964689	0.005039	0.97028	0.002899	3432.0	Spain	ESP	ESP	20210114
0.963207	0.005576	0.971599	0.002872	3345.0	Spain	ESP	ESP	20210115
0.965877	0.004242	0.967655	0.003062	3339.0	Spain	ESP	ESP	20210116
0.969669	0.004246	0.973219	0.002725	3510.0	Spain	ESP	ESP	20210117
0.967099	0.004126	0.9705	0.002936	3322.0	Spain	ESP	ESP	20210118
0.95956	0.005066	0.967076	0.003087	3341.0	Spain	ESP	ESP	20210119
0.964051	0.004437	0.968305	0.002987	3439.0	Spain	ESP	ESP	20210120
0.96819	0.003727	0.969185	0.002975	3375.0	Spain	ESP	ESP	20210121
0.965312	0.00506	0.96944	0.002994	3305.0	Spain	ESP	ESP	20210122
0.967029	0.003986	0.972096	0.002698	3727.0	Spain	ESP	ESP	20210123
0.968138	0.003894	0.970782	0.002732	3799.0	Spain	ESP	ESP	20210124
0.969444	0.003362	0.969061	0.002878	3620.0	Spain	ESP	ESP	20210125
0.957619	0.005034	0.965417	0.003115	3441.0	Spain	ESP	ESP	20210126
0.959067	0.00491	0.963201	0.003217	3424.0	Spain	ESP	ESP	20210127
0.967642	0.003851	0.969291	0.003118	3061.0	Spain	ESP	ESP	20210128
0.962463	0.004313	0.964064	0.003364	3061.0	Spain	ESP	ESP	20210129
0.960631	0.004996	0.965703	0.003337	2974.0	Spain	ESP	ESP	20210130
0.955195	0.006118	0.967644	0.003077	3307.0	Spain	ESP	ESP	20210131
0.964254	0.005753	0.97038	0.003463	2397.0	Spain	ESP	ESP	20210201
0.957446	0.007009	0.97094	0.003472	2340.0	Spain	ESP	ESP	20210202
0.959701	0.004777	0.967199	0.002982	3567.0	Spain	ESP	ESP	20210203
0.973214	0.003666	0.971966	0.00311	2818.0	Spain	ESP	ESP	20210204
0.973666	0.0038	0.971615	0.003253	2607.0	Spain	ESP	ESP	20210205
0.967784	0.004546	0.968727	0.003339	2718.0	Spain	ESP	ESP	20210206
0.965716	0.005045	0.969262	0.00319	2928.0	Spain	ESP	ESP	20210207
0.960121	0.005854	0.966832	0.003497	2623.0	Spain	ESP	ESP	20210208
0.964978	0.004813	0.968187	0.003436	2609.0	Spain	ESP	ESP	20210209
0.965533	0.004153	0.966108	0.003613	2508.0	Spain	ESP	ESP	20210210
0.962383	0.005542	0.967919	0.00362	2369.0	Spain	ESP	ESP	20210211
0.961491	0.00512	0.966844	0.003081	3378.0	Spain	ESP	ESP	20210212
0.975577	0.003078	0.974063	0.002844	3123.0	Spain	ESP	ESP	20210213
0.973073	0.003581	0.974894	0.002942	2828.0	Spain	ESP	ESP	20210214
0.96638	0.004333	0.96535	0.00353	2684.0	Spain	ESP	ESP	20210215
0.968435	0.004451	0.973567	0.003095	2686.0	Spain	ESP	ESP	20210216
0.968259	0.004829	0.974774	0.003043	2656.0	Spain	ESP	ESP	20210217
0.963326	0.006137	0.972485	0.003315	2435.0	Spain	ESP	ESP	20210218
0.966811	0.007292	0.972644	0.003399	2303.0	Spain	ESP	ESP	20210219
0.974819	0.004334	0.978481	0.002981	2370.0	Spain	ESP	ESP	20210220
0.9814	0.003305	0.982369	0.002577	2609.0	Spain	ESP	ESP	20210221
0.969093	0.00528	0.975689	0.0031	2468.0	Spain	ESP	ESP	20210222
0.97035	0.005313	0.977692	0.003059	2331.0	Spain	ESP	ESP	20210223
0.965359	0.005899	0.975406	0.003162	2399.0	Spain	ESP	ESP	20210224
0.974671	0.004112	0.97643	0.00317	2291.0	Spain	ESP	ESP	20210225
0.965979	0.005327	0.970813	0.003682	2090.0	Spain	ESP	ESP	20210226
0.971389	0.004501	0.974743	0.003393	2138.0	Spain	ESP	ESP	20210227
0.982737	0.003053	0.982427	0.002688	2390.0	Spain	ESP	ESP	20210228
0.970654	0.005243	0.975529	0.003352	2125.0	Spain	ESP	ESP	20210302
0.974422	0.003923	0.973046	0.003433	2226.0	Spain	ESP	ESP	20210303
0.973331	0.004653	0.977401	0.003225	2124.0	Spain	ESP	ESP	20210304
0.967627	0.005244	0.973013	0.00359	2038.0	Spain	ESP	ESP	20210305
0.978018	0.004502	0.981621	0.002916	2122.0	Spain	ESP	ESP	20210306
0.979256	0.003765	0.981848	0.002712	2424.0	Spain	ESP	ESP	20210307
0.97308	0.00407	0.973648	0.003444	2163.0	Spain	ESP	ESP	20210308
0.97229	0.005054	0.977251	0.00328	2066.0	Spain	ESP	ESP	20210309
0.982815	0.003678	0.981518	0.00301	2002.0	Spain	ESP	ESP	20210310
0.97562	0.004768	0.981735	0.003016	1971.0	Spain	ESP	ESP	20210311
0.97426	0.004212	0.97534	0.003479	1987.0	Spain	ESP	ESP	20210312
0.979423	0.00407	0.980082	0.003158	1958.0	Spain	ESP	ESP	20210313
0.983609	0.003597	0.984733	0.002678	2096.0	Spain	ESP	ESP	20210314
0.976767	0.004869	0.982021	0.002929	2058.0	Spain	ESP	ESP	20210315
0.978285	0.003511	0.979702	0.002995	2217.0	Spain	ESP	ESP	20210316
0.974816	0.004449	0.975854	0.003276	2195.0	Spain	ESP	ESP	20210317
0.982212	0.003307	0.983402	0.002743	2169.0	Spain	ESP	ESP	20210318
0.975874	0.003887	0.976051	0.00325	2213.0	Spain	ESP	ESP	20210319
0.967932	0.005054	0.97314	0.003393	2271.0	Spain	ESP	ESP	20210320
0.975013	0.004939	0.98094	0.002814	2361.0	Spain	ESP	ESP	20210321
0.972613	0.004428	0.977336	0.003201	2162.0	Spain	ESP	ESP	20210322
0.972483	0.004648	0.973182	0.003669	1939.0	Spain	ESP	ESP	20210323
0.970116	0.005755	0.980045	0.002978	2205.0	Spain	ESP	ESP	20210324
0.975158	0.006475	0.982492	0.002976	1942.0	Spain	ESP	ESP	20210325
0.971586	0.004425	0.972793	0.003686	1948.0	Spain	ESP	ESP	20210326
0.974976	0.004347	0.977218	0.003285	2063.0	Spain	ESP	ESP	20210327
0.970401	0.005848	0.978479	0.003173	2091.0	Spain	ESP	ESP	20210328
0.973478	0.005208	0.979038	0.003127	2099.0	Spain	ESP	ESP	20210329
0.981657	0.003621	0.981345	0.002998	2037.0	Spain	ESP	ESP	20210330
0.976621	0.004388	0.981036	0.002933	2162.0	Spain	ESP	ESP	20210331
0.971403	0.005309	0.977208	0.003252	2106.0	Spain	ESP	ESP	20210401
0.982475	0.00314	0.980254	0.003017	2127.0	Spain	ESP	ESP	20210402
0.9751	0.004656	0.979138	0.003044	2205.0	Spain	ESP	ESP	20210403
0.97373	0.004383	0.976866	0.003141	2291.0	Spain	ESP	ESP	20210404
0.9766	0.003776	0.977573	0.003105	2274.0	Spain	ESP	ESP	20210405
0.965452	0.005328	0.973146	0.003338	2346.0	Spain	ESP	ESP	20210406
0.983188	0.003921	0.983977	0.002726	2122.0	Spain	ESP	ESP	20210407
0.973956	0.004207	0.975898	0.003401	2033.0	Spain	ESP	ESP	20210408
0.974196	0.004185	0.97708	0.00334	2007.0	Spain	ESP	ESP	20210409
0.981888	0.003262	0.982783	0.002806	2149.0	Spain	ESP	ESP	20210410
0.981948	0.003648	0.981533	0.002893	2166.0	Spain	ESP	ESP	20210411
0.974331	0.004964	0.981619	0.002994	2013.0	Spain	ESP	ESP	20210412
0.972617	0.004897	0.978231	0.003141	2159.0	Spain	ESP	ESP	20210413
0.978051	0.004013	0.979055	0.00316	2053.0	Spain	ESP	ESP	20210414
0.980298	0.004038	0.982134	0.002911	2071.0	Spain	ESP	ESP	20210415
0.970561	0.004918	0.974781	0.003557	1943.0	Spain	ESP	ESP	20210416
0.979911	0.003848	0.980892	0.00303	2041.0	Spain	ESP	ESP	20210417
0.975665	0.004269	0.977878	0.003125	2215.0	Spain	ESP	ESP	20210418
0.977602	0.003943	0.979226	0.003099	2118.0	Spain	ESP	ESP	20210419
0.968466	0.005116	0.974677	0.003434	2093.0	Spain	ESP	ESP	20210420
0.972524	0.005523	0.977518	0.003208	2135.0	Spain	ESP	ESP	20210421
0.974612	0.004298	0.974975	0.003495	1998.0	Spain	ESP	ESP	20210422
0.974949	0.004897	0.979884	0.00323	1889.0	Spain	ESP	ESP	20210423
0.966616	0.006676	0.97486	0.0037	1790.0	Spain	ESP	ESP	20210424
0.975064	0.004455	0.977496	0.003211	2133.0	Spain	ESP	ESP	20210425
0.975488	0.004265	0.978439	0.003291	1948.0	Spain	ESP	ESP	20210426
0.979546	0.003269	0.975645	0.003402	2053.0	Spain	ESP	ESP	20210427
0.974922	0.004278	0.973779	0.003623	1945.0	Spain	ESP	ESP	20210428
0.967797	0.00607	0.97561	0.003632	1804.0	Spain	ESP	ESP	20210429
0.971255	0.005696	0.976813	0.00367	1682.0	Spain	ESP	ESP	20210430
0.973344	0.005687	0.979862	0.00337	1738.0	Spain	ESP	ESP	20210501
0.968208	0.005486	0.971578	0.004002	1724.0	Spain	ESP	ESP	20210502
0.97224	0.005466	0.977986	0.003442	1817.0	Spain	ESP	ESP	20210503
0.975314	0.004395	0.977124	0.003489	1836.0	Spain	ESP	ESP	20210504
0.985572	0.003217	0.985663	0.002905	1674.0	Spain	ESP	ESP	20210505
0.969005	0.005576	0.977616	0.003499	1787.0	Spain	ESP	ESP	20210506
0.972502	0.005524	0.976324	0.003795	1605.0	Spain	ESP	ESP	20210507
0.970214	0.006838	0.980117	0.003376	1710.0	Spain	ESP	ESP	20210508
0.975609	0.004162	0.978424	0.003255	1993.0	Spain	ESP	ESP	20210509
0.980245	0.004152	0.984268	0.002849	1907.0	Spain	ESP	ESP	20210510
0.969897	0.00534	0.975296	0.003521	1943.0	Spain	ESP	ESP	20210511
0.982066	0.003852	0.981838	0.003086	1872.0	Spain	ESP	ESP	20210512
0.98517	0.00352	0.98579	0.00288	1689.0	Spain	ESP	ESP	20210513
0.979661	0.003622	0.975995	0.003847	1583.0	Spain	ESP	ESP	20210514
0.978097	0.004178	0.97879	0.003599	1603.0	Spain	ESP	ESP	20210515
0.976146	0.005298	0.979651	0.003404	1720.0	Spain	ESP	ESP	20210516
0.969899	0.005678	0.976396	0.003643	1737.0	Spain	ESP	ESP	20210517
0.974595	0.004767	0.976373	0.003691	1693.0	Spain	ESP	ESP	20210518
0.977962	0.004287	0.978166	0.00365	1603.0	Spain	ESP	ESP	20210519
0.958645	0.006715	0.96504	0.004717	1516.0	Spain	ESP	ESP	20210520
0.971226	0.0054	0.974202	0.004131	1473.0	Spain	ESP	ESP	20210521
0.967317	0.005413	0.967463	0.004572	1506.0	Spain	ESP	ESP	20210522
0.960201	0.006156	0.965304	0.004555	1614.0	Spain	ESP	ESP	20210523
0.959634	0.00691	0.967105	0.004575	1520.0	Spain	ESP	ESP	20210524
0.959646	0.006065	0.962963	0.004901	1485.0	Spain	ESP	ESP	20210525
0.972886	0.004276	0.969677	0.004355	1550.0	Spain	ESP	ESP	20210526
0.962007	0.00596	0.962988	0.004943	1459.0	Spain	ESP	ESP	20210527
0.963909	0.006408	0.967115	0.004875	1338.0	Spain	ESP	ESP	20210528
0.973792	0.005199	0.975092	0.004218	1365.0	Spain	ESP	ESP	20210529
0.977837	0.004608	0.979361	0.003668	1502.0	Spain	ESP	ESP	20210530
0.960838	0.006333	0.966208	0.00452	1598.0	Spain	ESP	ESP	20210531
0.969197	0.004843	0.966667	0.00446	1620.0	Spain	ESP	ESP	20210601
0.960919	0.007581	0.968944	0.004323	1610.0	Spain	ESP	ESP	20210602
0.962033	0.007152	0.972565	0.004278	1458.0	Spain	ESP	ESP	20210603
0.97559	0.004762	0.975282	0.004126	1416.0	Spain	ESP	ESP	20210604
0.963775	0.006006	0.969329	0.004359	1565.0	Spain	ESP	ESP	20210605
0.957537	0.008104	0.963918	0.004734	1552.0	Spain	ESP	ESP	20210606
0.960821	0.006122	0.963178	0.004787	1548.0	Spain	ESP	ESP	20210607
0.959484	0.007743	0.971932	0.00422	1532.0	Spain	ESP	ESP	20210608
0.95779	0.006285	0.963625	0.00473	1567.0	Spain	ESP	ESP	20210609
0.969726	0.004755	0.966369	0.004723	1457.0	Spain	ESP	ESP	20210610
0.965458	0.006282	0.970984	0.004465	1413.0	Spain	ESP	ESP	20210611
0.965436	0.007169	0.970674	0.004568	1364.0	Spain	ESP	ESP	20210612
0.963506	0.006594	0.968988	0.004193	1709.0	Spain	ESP	ESP	20210613
0.947915	0.006873	0.956995	0.004858	1744.0	Spain	ESP	ESP	20210614
0.952172	0.008595	0.96149	0.004835	1584.0	Spain	ESP	ESP	20210615
0.96911	0.005212	0.970178	0.004285	1576.0	Spain	ESP	ESP	20210616
0.961515	0.006288	0.967273	0.004798	1375.0	Spain	ESP	ESP	20210617
0.967158	0.0081	0.968599	0.006061	828.0	Spain	ESP	ESP	20210618
0.959745	0.008056	0.96057	0.006441	913.0	Spain	ESP	ESP	20210619
0.966277	0.008161	0.961755	0.006432	889.0	Spain	ESP	ESP	20210620
0.952477	0.009335	0.959016	0.006784	854.0	Spain	ESP	ESP	20210621
0.940422	0.010146	0.94508	0.007706	874.0	Spain	ESP	ESP	20210622
0.959019	0.008454	0.95641	0.007311	780.0	Spain	ESP	ESP	20210623
0.963051	0.009118	0.966125	0.006659	738.0	Spain	ESP	ESP	20210624
0.967941	0.006982	0.967232	0.005984	885.0	Spain	ESP	ESP	20210625
0.957471	0.006349	0.960812	0.005133	1429.0	Spain	ESP	ESP	20210626
0.951502	0.00758	0.957383	0.004949	1666.0	Spain	ESP	ESP	20210627
0.943288	0.006674	0.946098	0.005351	1781.0	Spain	ESP	ESP	20210628
0.929302	0.008197	0.937844	0.005663	1818.0	Spain	ESP	ESP	20210629
0.917937	0.008869	0.92894	0.00615	1745.0	Spain	ESP	ESP	20210630
0.921133	0.011344	0.925818	0.006334	1712.0	Spain	ESP	ESP	20210701
