pct_tested_positive_14d	tested_positive_14d_se	pct_tested_positive_14d_unw	tested_positive_14d_se_unw	sample_size	country	iso_code	gid_0	survey_date
0.101914	0.019484	0.091371	0.014516	394.0	Spain	ESP	ESP	20210101
0.110574	0.016403	0.116438	0.015326	438.0	Spain	ESP	ESP	20210102
0.086567	0.013894	0.107623	0.014674	446.0	Spain	ESP	ESP	20210103
0.097992	0.017022	0.102041	0.015289	392.0	Spain	ESP	ESP	20210104
0.094649	0.018148	0.094629	0.014803	391.0	Spain	ESP	ESP	20210105
0.129382	0.018298	0.136126	0.017545	382.0	Spain	ESP	ESP	20210106
0.099978	0.016154	0.101382	0.014489	434.0	Spain	ESP	ESP	20210107
0.128715	0.018376	0.124736	0.015193	473.0	Spain	ESP	ESP	20210108
0.14118	0.020228	0.139434	0.016168	459.0	Spain	ESP	ESP	20210109
0.13746	0.019297	0.12731	0.015104	487.0	Spain	ESP	ESP	20210110
0.151512	0.023865	0.14128	0.016365	453.0	Spain	ESP	ESP	20210111
0.152371	0.020636	0.161863	0.017344	451.0	Spain	ESP	ESP	20210112
0.163824	0.021913	0.159551	0.017359	445.0	Spain	ESP	ESP	20210113
0.154016	0.019877	0.161638	0.017089	464.0	Spain	ESP	ESP	20210114
0.108596	0.016084	0.120833	0.014877	480.0	Spain	ESP	ESP	20210115
0.182959	0.026406	0.176471	0.017794	459.0	Spain	ESP	ESP	20210116
0.133887	0.017692	0.147874	0.015262	541.0	Spain	ESP	ESP	20210117
0.18919	0.020673	0.199203	0.017826	502.0	Spain	ESP	ESP	20210118
0.155584	0.018066	0.162325	0.016507	499.0	Spain	ESP	ESP	20210119
0.186994	0.021048	0.186567	0.016827	536.0	Spain	ESP	ESP	20210120
0.18192	0.022063	0.197872	0.018377	470.0	Spain	ESP	ESP	20210121
0.19167	0.02213	0.188119	0.017391	505.0	Spain	ESP	ESP	20210122
0.152549	0.022069	0.148084	0.014825	574.0	Spain	ESP	ESP	20210123
